Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
42,0446386044173,343,788,70,17,
42,1449838039505,324,859,51,18,
42,2453290034837,382,825,57,25,
42,3456742030169,397,817,66,14,
42,4460194025501,347,831,58,24,
42,5463646020834,396,841,66,25,
42,6467098016166,352,806,61,23,
42,7470550011498,359,782,56,20,
42,847400200683,342,842,51,24,
42,9477454002162,347,790,73,18,
43,0480905997494,333,823,72,16,
43,1484357992827,365,803,65,21,
43,2487809988159,332,818,51,15,
43,3491261983491,370,868,61,18,
43,4494713978823,357,745,62,22,
43,5498165974155,350,841,70,23,
43,6501617969487,363,781,59,21,
43,7505069964819,350,830,65,22,
43,8508521960152,347,786,70,16,
43,9511973955484,390,839,65,22,
44,0515425950816,360,782,49,27,
44,1518877946148,353,770,53,18,
44,252232994148,331,842,58,32,
44,3525781936812,315,802,59,22,
44,4529233932145,346,785,49,18,
44,5532685927477,358,753,59,15,
44,6536137922809,362,830,63,17,
44,7539589918141,382,817,55,20,
44,8543041913473,376,794,58,23,
44,9546493908805,415,790,80,19,
45,0549945904138,364,759,64,15,
45,155339789947,375,847,56,21,
45,2556849894802,337,864,65,22,
45,3560301890134,341,819,46,17,
45,4563753885466,338,815,58,25,
45,5567205880798,370,807,59,20,
45,657065787613,340,783,53,20,
45,7574109871463,380,807,74,14,
45,8577561866795,377,868,65,19,
45,9581013862127,358,846,58,8,
46,0584465857459,337,811,72,22,
46,1587917852791,353,861,66,19,
46,2591369848123,346,867,75,16,
46,3594821843455,355,834,65,20,
46,4598273838788,350,873,65,23,
46,560172583412,350,808,68,18,
46,6605177829452,373,803,56,13,
46,7608629824784,345,827,74,15,
46,8612081820116,365,800,53,21,
46,9615533815448,364,830,67,15,
47,0618985810781,366,844,62,26,
47,1622437806113,393,836,60,17,
47,2625889801445,342,773,70,17,
47,3629341796777,380,817,62,28,
47,4632793792109,321,788,57,21,
47,5636245787441,356,817,63,20,
47,6639697782773,380,846,64,21,
47,7643149778106,372,833,65,22,
47,8646601773438,348,873,63,19,
47,965005376877,404,797,60,22,
48,0653505764102,379,841,71,21,
48,1656957759434,374,775,75,15,
48,2660409754766,392,818,56,24,
48,3663861750099,361,787,60,15,
48,4667313745431,347,847,73,14,
48,5670765740763,361,817,54,17,
48,6674217736095,387,844,68,20,
48,7677669731427,395,841,64,18,
48,8681121726759,368,809,65,13,
48,9684573722091,354,844,56,19,
49,0688025717424,360,821,59,10,
49,1691477712756,349,883,66,19,
49,2694929708088,358,768,65,25,
49,369838170342,361,847,76,10,
49,4701833698752,378,789,58,11,
49,5705285694084,369,814,58,19,
49,6708737689417,401,824,59,23,
49,7712189684749,362,827,65,16,
49,8715641680081,383,792,61,20,
49,9719093675413,350,862,66,10,
50,0722545670745,343,804,63,13,
