Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
37,784127556245,142,255,19,5,
37,8873628774369,126,266,20,6,
37,9905981986289,135,233,15,10,
38,0938335198208,115,253,25,3,
38,1970688410127,125,260,15,5,
38,3003041622047,116,244,15,2,
38,4035394833966,126,232,21,5,
38,5067748045885,125,231,17,3,
38,6100101257804,135,237,19,7,
38,7132454469724,114,239,22,10,
38,8164807681643,119,259,21,1,
38,9197160893562,110,243,17,10,
39,0229514105481,130,233,16,4,
39,1261867317401,110,248,18,6,
39,229422052932,117,269,21,6,
39,3326573741239,136,239,22,5,
39,4358926953159,134,256,17,2,
39,5391280165078,128,254,27,5,
39,6423633376997,111,250,19,11,
39,7455986588916,118,252,16,2,
39,8488339800835,123,246,27,4,
39,9520693012755,111,241,17,10,
40,0553046224674,123,225,24,8,
40,1585399436593,108,226,18,9,
40,2617752648513,108,244,18,11,
40,3650105860432,125,240,26,5,
40,4682459072351,132,263,13,5,
40,571481228427,123,219,22,5,
40,6747165496189,111,254,16,6,
40,7779518708109,119,230,16,7,
40,8811871920028,135,239,24,11,
40,9844225131947,119,224,15,4,
41,0876578343867,125,259,12,11,
41,1908931555786,108,250,21,8,
41,2941284767705,126,270,20,6,
41,3973637979624,121,236,25,6,
41,5005991191544,114,251,18,12,
41,6038344403463,108,215,17,10,
41,7070697615382,138,241,26,8,
41,8103050827301,130,250,14,6,
41,9135404039221,140,219,22,7,
42,016775725114,114,225,21,9,
42,1200110463059,108,256,16,6,
42,2232463674979,150,272,17,8,
42,3264816886898,112,231,19,2,
42,4297170098817,110,217,22,4,
42,5329523310736,121,257,17,5,
42,6361876522655,109,240,18,10,
42,7394229734575,129,256,13,4,
42,8426582946494,114,242,20,9,
42,9458936158413,121,248,20,8,
43,0491289370333,108,261,19,11,
43,1523642582252,116,246,19,6,
43,2555995794171,120,256,20,4,
43,358834900609,118,218,21,7,
43,462070221801,123,251,25,5,
43,5653055429929,104,246,23,3,
43,6685408641848,104,214,20,4,
43,7717761853767,120,228,25,4,
43,8750115065687,109,225,20,7,
43,9782468277606,111,235,20,7,
44,0814821489525,130,245,18,7,
44,1847174701444,108,254,18,8,
44,2879527913364,130,230,20,11,
44,3911881125283,120,227,22,9,
44,4944234337202,119,242,15,4,
44,5976587549122,131,264,21,8,
44,7008940761041,115,285,25,5,
44,804129397296,114,219,20,11,
44,9073647184879,111,227,21,6,
45,0106000396799,120,248,27,4,
45,1138353608718,130,227,22,7,
45,2170706820637,104,251,20,11,
45,3203060032556,122,277,20,10,
45,4235413244476,106,243,19,7,
45,5267766456395,99,225,22,4,
45,6300119668314,125,267,24,4,
45,7332472880233,135,249,23,7,
45,8364826092153,116,236,28,4,
45,9397179304072,123,268,19,3,
46,0429532515991,87,233,10,8,
46,146188572791,113,287,21,6,
46,249423893983,109,239,22,8,
46,3526592151749,116,248,23,3,
46,4558945363668,115,255,18,9,
46,5591298575588,131,262,12,3,
46,6623651787507,114,228,24,5,
46,7656004999426,121,247,20,4,
46,8688358211345,117,233,18,3,
46,9720711423265,117,246,14,6,
47,0753064635184,126,258,20,11,
47,1785417847103,116,270,21,6,
47,2817771059022,129,213,22,6,
47,3850124270942,130,260,22,10,
47,4882477482861,137,232,19,10,
47,591483069478,132,244,22,9,
47,6947183906699,128,219,29,5,
47,7979537118619,133,220,21,6,
47,9011890330538,139,252,20,6,
48,0044243542457,131,247,22,8,
48,1076596754376,124,255,26,4,
48,2108949966296,122,264,25,5,
48,3141303178215,129,240,17,12,
48,4173656390134,105,260,17,3,
48,5206009602054,122,272,17,5,
48,6238362813973,114,234,21,8,
48,7270716025892,116,271,20,3,
48,8303069237811,130,284,23,5,
48,9335422449731,133,266,27,10,
49,036777566165,133,236,15,4,
49,1400128873569,133,232,22,4,
49,2432482085488,134,252,18,7,
49,3464835297408,131,241,15,8,
49,4497188509327,133,223,21,7,
49,5529541721246,130,232,30,5,
49,6561894933165,126,254,23,7,
49,7594248145085,140,242,14,11,
49,8626601357004,126,247,19,6,
49,9658954568923,122,229,23,9,
50,0691307780842,131,216,24,6,
50,1723660992762,144,244,23,6,
