Abstand (µm),Decimals,Ti Kα1,Al Kα1,Ta Lα1,Nb Lα1,
49,5173350967893,474,226,5,49,
49,6352335136864,462,257,12,34,
49,7531319305835,484,213,11,41,
49,8710303474807,445,195,9,41,
49,9889287643778,484,233,16,50,
50,1068271812749,465,241,13,35,
50,224725598172,471,227,10,40,
50,3426240150691,441,215,10,39,
50,4605224319663,460,230,7,42,
50,5784208488634,434,226,10,46,
50,6963192657605,485,241,9,44,
50,8142176826576,508,213,9,48,
50,9321160995547,461,252,10,43,
51,0500145164518,481,223,13,40,
51,167912933349,460,229,19,32,
51,2858113502461,455,240,7,47,
51,4037097671432,460,250,16,41,
51,5216081840403,439,252,9,37,
51,6395066009374,474,245,8,45,
51,7574050178346,475,269,9,41,
51,8753034347317,479,265,9,39,
51,9932018516288,500,227,7,47,
52,1111002685259,487,233,12,34,
52,228998685423,459,208,12,43,
52,3468971023201,490,271,12,40,
52,4647955192173,452,254,8,50,
52,5826939361144,452,238,9,43,
52,7005923530115,459,216,15,49,
52,8184907699086,467,287,9,36,
52,9363891868057,455,226,8,46,
53,0542876037028,450,253,7,36,
53,1721860206,481,240,8,34,
53,2900844374971,448,251,10,48,
53,4079828543942,436,235,11,43,
53,5258812712913,495,224,7,36,
53,6437796881884,459,268,9,35,
53,7616781050856,449,250,12,40,
53,8795765219827,433,270,10,45,
53,9974749388798,465,248,13,40,
54,1153733557769,473,234,7,35,
54,233271772674,443,247,15,33,
54,3511701895711,454,239,9,45,
54,4690686064683,472,233,8,45,
54,5869670233654,424,250,5,49,
54,7048654402625,425,232,12,36,
54,8227638571596,427,207,16,32,
54,9406622740567,457,252,14,36,
55,0585606909538,488,231,11,47,
55,176459107851,440,228,22,38,
55,2943575247481,437,217,10,37,
55,4122559416452,488,235,12,43,
55,5301543585423,467,277,8,40,
55,6480527754394,398,257,19,36,
55,7659511923365,465,247,15,44,
55,8838496092337,434,191,13,32,
56,0017480261308,435,241,10,46,
56,1196464430279,478,223,13,37,
56,237544859925,430,263,10,32,
56,3554432768221,467,239,10,34,
56,4733416937192,466,232,10,33,
56,5912401106164,426,245,10,38,
56,7091385275135,454,247,10,39,
56,8270369444106,423,241,8,37,
56,9449353613077,451,257,6,41,
57,0628337782048,412,237,6,45,
57,180732195102,446,250,15,38,
57,2986306119991,461,241,9,38,
57,4165290288962,466,215,15,38,
57,5344274457933,472,251,10,51,
57,6523258626904,444,262,8,36,
57,7702242795875,449,245,10,49,
57,8881226964847,436,241,9,49,
58,0060211133818,430,244,10,45,
58,1239195302789,459,256,5,37,
58,241817947176,443,219,19,41,
58,3597163640731,471,217,11,38,
58,4776147809702,438,222,15,45,
58,5955131978674,462,206,12,35,
58,7134116147645,434,219,6,34,
58,8313100316616,450,222,8,28,
